Genes	BC	CB	All
1110012L19Rik	Early	Early	Early
Acsl4	Late	Inter	Late
Alg13	Bias	Bias	Bias
Amot	Late	Bias	Late
Apex2	Inter	Late	Inter
Apoo	Inter	Late	Inter
Araf	Esc	Bias	Esc
Atp6ap2	Esc	Esc	Esc
Atrx	Inter	Early	Inter
Bcap31	Inter	Late	Bias
Brwd3	Late	Late	Late
Cdk16	Late	Late	Late
Cul4b	Late	Bias	Bias
Dkc1	Bias	Bias	Bias
Ebp	Late	Bias	Late
Eda	Late	Late	Late
Eif2s3x	Bias	Esc	Esc
Elf4	Late	Late	Late
Fancb	Late	Late	Late
Fthl17f	Late	Late	Late
G6pdx	Inter	Late	Inter
Gata1	Late	Late	Late
Gla	Inter	Inter	Inter
Gnl3l	Inter	Early	Late
Gpkow	Late	Late	Late
Hccs	Bias	Bias	Bias
Hdac6	Late	Late	Late
Hmgn5	Inter	Early	Inter
Hsd17b10	Late	Inter	Late
Htatsf1	Late	Late	Late
Huwe1	Bias	Late	Bias
Idh3g	Esc	Bias	Bias
Ids	Late	Late	Late
Jade3	Late	Late	Late
Kdm5c	Esc	Esc	Esc
Kdm6a	Late	Bias	Bias
Kif4	Early	Early	Early
Lage3	Inter	Late	Bias
Lamp2	Esc	Bias	Bias
Las1l	Inter	Early	Early
Magt1	Early	Inter	Early
Map7d2	Inter	Late	Late
Mbtps2	Esc	Bias	Esc
Mospd1	Late	Late	Late
Msl3	Esc	Esc	Esc
Naa10	Bias	Bias	Bias
Ndufb11	Bias	Esc	Bias
Nkap	Esc	Bias	Bias
Nono	Inter	Late	Inter
Ocrl	Inter	Early	Late
Ogt	Esc	Bias	Esc
Otud5	Bias	Late	Late
Pbdc1	Esc	Esc	Esc
Pcyt1b	Late	Late	Late
Pdha1	Bias	Esc	Esc
Pdzd11	Inter	Inter	Inter
Pgrmc1	Late	Late	Late
Phf8	Late	Late	Late
Pim2	Late	Late	Late
Plp2	Late	Late	Late
Pnma5	Early	Early	Early
Pola1	Late	Late	Late
Porcn	Inter	Late	Esc
Pqbp1	Bias	Late	Late
Praf2	Late	Bias	Late
Prps1	Bias	Bias	Bias
Rbm3	Esc	Bias	Bias
Rbmx	Early	Early	Early
Rbmx2	Late	Late	Late
Rgn	Late	Late	Late
Rlim	Early	Early	Early
Slc6a8	Inter	Late	Late
Sms	Esc	Esc	Esc
Suv39h1	Esc	Esc	Esc
Syap1	Esc	Esc	Esc
Tab3	Late	Inter	Inter
Tbc1d25	Esc	Bias	Bias
Tfe3	Late	Bias	Late
Timm17b	Bias	Bias	Bias
Tktl1	Early	Early	Early
Tsr2	Bias	Late	Bias
Txlng	Bias	Late	Late
Uba1	Esc	Bias	Esc
Ubl4a	Late	Late	Late
Utp14a	Esc	Bias	Esc
Wdr13	Bias	Late	Bias
Wdr45	Late	Bias	Bias
Xiap	Late	Bias	Bias
Xist	Esc	Esc	Esc
