ID	CellLine	dXic	Day	Replicate
dXicB6_d0_r1	TXdXIC	dB6	0	1
dXicB6_d1_r1	TXdXIC	dB6	1	1
dXicB6_d2_r1	TXdXIC	dB6	2	1
dXicB6_d3_r1	TXdXIC	dB6	3	1
dXicB6_d4_r1	TXdXIC	dB6	4	1
dXicCast_d0_r1	TXdXIC	dCast	0	1
dXicCast_d1_r1	TXdXIC	dCast	1	1
dXicCast_d2_r1	TXdXIC	dCast	2	1
dXicCast_d3_r1	TXdXIC	dCast	3	1
dXicCast_d4_r1	TXdXIC	dCast	4	1
dXicB6_d0_r2	TXdXIC	dB6	0	2
dXicB6_d1_r2	TXdXIC	dB6	1	2
dXicB6_d2_r2	TXdXIC	dB6	2	2
dXicB6_d3_r2	TXdXIC	dB6	3	2
dXicB6_d4_r2	TXdXIC	dB6	4	2
dXicCast_d0_r2	TXdXIC	dCast	0	2
dXicCast_d1_r2	TXdXIC	dCast	1	2
dXicCast_d2_r2	TXdXIC	dCast	2	2
dXicCast_d3_r2	TXdXIC	dCast	3	2
dXicCast_d4_r2	TXdXIC	dCast	4	2
dXicB6_d0_r3	TXdXIC	dB6	0	3
dXicB6_d1_r3	TXdXIC	dB6	1	3
dXicB6_d2_r3	TXdXIC	dB6	2	3
dXicB6_d3_r3	TXdXIC	dB6	3	3
dXicB6_d4_r3	TXdXIC	dB6	4	3
dXicCast_d0_r3	TXdXIC	dCast	0	3
dXicCast_d1_r3	TXdXIC	dCast	1	3
dXicCast_d2_r3	TXdXIC	dCast	2	3
dXicCast_d3_r3	TXdXIC	dCast	3	3
dXicCast_d4_r3	TXdXIC	dCast	4	3
TX1072_d0_r1	TX1072	NA	0	1
TX1072_d0_r2	TX1072	NA	0	2
TX1072_d0_r3	TX1072	NA	0	3
TX1072_d1_r1	TX1072	NA	1	1
TX1072_d1_r2	TX1072	NA	1	2
TX1072_d1_r3	TX1072	NA	1	3
TX1072_d2_r1	TX1072	NA	2	1
TX1072_d2_r2	TX1072	NA	2	2
TX1072_d2_r3	TX1072	NA	2	3
TX1072_d3_r1	TX1072	NA	3	1
TX1072_d3_r2	TX1072	NA	3	2
TX1072_d3_r3	TX1072	NA	3	3
TX1072_d4_r1	TX1072	NA	4	1
TX1072_d4_r2	TX1072	NA	4	2
TX1072_d4_r3	TX1072	NA	4	3
