ID	Day	Empty	Multiple	Dead.Stain..intensity.	Total.Reads	Uniquely Aligned
d0_Col_01_Row_1	0	FALSE	FALSE	66.925	447477	231025
d0_Col_01_Row_2	0	FALSE	FALSE	67.018	572913	305636
d0_Col_01_Row_3	0	FALSE	FALSE	374.371	124837	62468
d0_Col_01_Row_4	0	FALSE	FALSE	66.687	376089	191396
d0_Col_01_Row_5	0	FALSE	FALSE	66.889	275276	145161
d0_Col_01_Row_6	0	FALSE	FALSE	88.706	30090	13703
d0_Col_01_Row_7	0	FALSE	FALSE	66.427	200456	99637
d0_Col_01_Row_8	0	FALSE	FALSE	67.031	256076	135389
d0_Col_01_Row_9	0	FALSE	FALSE	66.752	437794	211361
d0_Col_01_Row_10	0	FALSE	FALSE	272.532	62745	27931
d0_Col_01_Row_11	0	FALSE	FALSE	69.42	424508	210521
d0_Col_01_Row_12	0	FALSE	FALSE	66.733	495009	254505
d0_Col_01_Row_13	0	FALSE	FALSE	534.702	129475	63460
d0_Col_01_Row_14	0	FALSE	FALSE	66.535	376030	197810
d0_Col_01_Row_15	0	FALSE	FALSE	67.025	389688	186774
d0_Col_01_Row_16	0	FALSE	FALSE	67.198	375382	173461
d0_Col_01_Row_17	0	FALSE	FALSE	66.928	543229	282521
d0_Col_01_Row_18	0	FALSE	FALSE	135.949	85576	46213
d0_Col_01_Row_19	0	FALSE	FALSE	66.617	421270	225602
d0_Col_01_Row_20	0	FALSE	FALSE	66.763	381918	194363
d0_Col_01_Row_21	0	FALSE	FALSE	66.374	227789	115514
d0_Col_01_Row_22	0	FALSE	FALSE	93.906	55122	29172
d0_Col_01_Row_23	0	FALSE	FALSE	66.844	569129	301872
d0_Col_01_Row_24	0	FALSE	FALSE	66.987	495192	248283
d0_Col_01_Row_25	0	FALSE	FALSE	66.639	356254	175139
d0_Col_01_Row_26	0	FALSE	FALSE	66.532	370664	193056
d0_Col_01_Row_27	0	FALSE	FALSE	66.652	406176	210611
d0_Col_01_Row_28	0	FALSE	FALSE	66.696	319632	161381
d0_Col_01_Row_29	0	FALSE	FALSE	66.541	110016	56335
d0_Col_01_Row_30	0	FALSE	FALSE	66.658	202565	98747
d0_Col_01_Row_31	0	FALSE	FALSE	66.654	263562	129893
d0_Col_01_Row_32	0	FALSE	FALSE	66.979	325196	165704
d0_Col_01_Row_33	0	FALSE	FALSE	121.265	35237	13612
d0_Col_01_Row_34	0	FALSE	FALSE	66.76	347740	156303
d0_Col_01_Row_35	0	FALSE	TRUE	66.688	471933	257251
d0_Col_01_Row_36	0	FALSE	FALSE	66.591	356295	190348
d0_Col_01_Row_37	0	FALSE	FALSE	437.27	53019	25778
d0_Col_01_Row_38	0	FALSE	FALSE	66.659	443423	229817
d0_Col_01_Row_39	0	FALSE	FALSE	66.706	343399	171910
d0_Col_01_Row_40	0	FALSE	FALSE	67.121	402176	189609
d0_Col_02_Row_1	0	FALSE	FALSE	66.684	527662	243540
d0_Col_02_Row_2	0	FALSE	FALSE	66.342	374756	165856
d0_Col_02_Row_3	0	FALSE	FALSE	67.307	388502	167064
d0_Col_02_Row_4	0	FALSE	FALSE	66.466	446139	206727
d0_Col_02_Row_5	0	FALSE	FALSE	88.951	33117	15033
d0_Col_02_Row_6	0	FALSE	FALSE	66.582	316780	156382
d0_Col_02_Row_7	0	FALSE	FALSE	66.803	181161	83326
d0_Col_02_Row_8	0	FALSE	FALSE	66.822	303971	148257
d0_Col_02_Row_9	0	FALSE	FALSE	89.352	47054	19313
d0_Col_02_Row_10	0	FALSE	FALSE	66.546	326645	150382
d0_Col_02_Row_11	0	FALSE	FALSE	66.948	281432	133185
d0_Col_02_Row_12	0	FALSE	FALSE	67.682	431231	204360
d0_Col_02_Row_13	0	FALSE	FALSE	485.995	73060	32545
d0_Col_02_Row_14	0	TRUE	FALSE	66.841	24466	10761
d0_Col_02_Row_15	0	FALSE	FALSE	67.06	522962	243783
d0_Col_02_Row_16	0	FALSE	FALSE	461.706	25948	11189
d0_Col_02_Row_17	0	FALSE	FALSE	66.926	345795	165045
d0_Col_02_Row_18	0	FALSE	FALSE	67.266	336163	161665
d0_Col_02_Row_19	0	TRUE	FALSE	66.452	29723	13566
d0_Col_02_Row_20	0	FALSE	FALSE	77.404	34630	13585
d0_Col_02_Row_21	0	FALSE	FALSE	66.546	631127	298195
d0_Col_02_Row_22	0	FALSE	FALSE	66.298	418407	186250
d0_Col_02_Row_23	0	FALSE	FALSE	537.989	31750	12868
d0_Col_02_Row_24	0	FALSE	FALSE	551.035	14677	6626
d0_Col_02_Row_25	0	FALSE	FALSE	67.092	319346	152016
d0_Col_02_Row_26	0	FALSE	FALSE	498.282	35638	15478
d0_Col_02_Row_27	0	FALSE	FALSE	67.048	448429	193523
d0_Col_02_Row_28	0	FALSE	FALSE	67.084	307487	137366
d0_Col_02_Row_29	0	FALSE	FALSE	451.186	14847	6288
