Chromosome	Ensembl ID	Gene Symbol	Strand
1	ENSMUSG00000051951	Xkr4	-1
1	ENSMUSG00000103377	Gm37180	-1
1	ENSMUSG00000104017	Gm37363	-1
1	ENSMUSG00000103025	Gm37686	-1
1	ENSMUSG00000103201	Gm37329	-1
1	ENSMUSG00000103147	Gm7341	1
1	ENSMUSG00000103161	Gm38148	-1
1	ENSMUSG00000102331	Gm19938	-1
1	ENSMUSG00000102343	Gm37381	-1
1	ENSMUSG00000025900	Rp1	-1
1	ENSMUSG00000102948	Gm6101	-1
1	ENSMUSG00000025902	Sox17	-1
1	ENSMUSG00000104238	Gm37587	1
1	ENSMUSG00000102269	Gm7357	1
1	ENSMUSG00000102735	Gm7369	1
1	ENSMUSG00000098104	Gm6085	-1
1	ENSMUSG00000102175	Gm6119	-1
1	ENSMUSG00000103265	Gm2053	-1
1	ENSMUSG00000103922	Gm6123	1
1	ENSMUSG00000033845	Mrpl15	-1
1	ENSMUSG00000102275	Gm37144	-1
1	ENSMUSG00000025903	Lypla1	1
1	ENSMUSG00000104217	Gm37988	1
1	ENSMUSG00000033813	Tcea1	1
1	ENSMUSG00000062588	Gm6104	-1
1	ENSMUSG00000103280	Gm37277	-1
1	ENSMUSG00000002459	Rgs20	-1
1	ENSMUSG00000102653	Gm37079	-1
1	ENSMUSG00000085623	Gm16041	1
1	ENSMUSG00000033793	Atp6v1h	1
1	ENSMUSG00000104352	Gm7182	-1
1	ENSMUSG00000104046	Gm37567	1
1	ENSMUSG00000102907	Gm38264	1
1	ENSMUSG00000025905	Oprk1	1
1	ENSMUSG00000103936	Gm36965	-1
1	ENSMUSG00000103519	Gm37429	-1
1	ENSMUSG00000033774	Npbwr1	-1
1	ENSMUSG00000025907	Rb1cc1	1
1	ENSMUSG00000090031	4732440D04Rik	-1
1	ENSMUSG00000087247	Alkal1	1
1	ENSMUSG00000103355	Gm2147	1
1	ENSMUSG00000103845	Gm19026	-1
1	ENSMUSG00000033740	St18	1
1	ENSMUSG00000104385	Gm7449	1
1	ENSMUSG00000102135	Gm37108	1
1	ENSMUSG00000102534	Gm37225	1
1	ENSMUSG00000051285	Pcmtd1	1
1	ENSMUSG00000098201	Gm26983	-1
1	ENSMUSG00000103509	Gm38372	1
1	ENSMUSG00000048538	Gm9826	1
1	ENSMUSG00000097797	Gm26901	-1
1	ENSMUSG00000103067	Gm30414	1
1	ENSMUSG00000103903	Rps2-ps2	1
1	ENSMUSG00000103557	Gm38216	-1
1	ENSMUSG00000025909	Sntg1	-1
